"filename", "language", "JSON", "HTML", "JavaScript", "Markdown", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\vscodePjs\ai-chat-front\.vercel\project.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vscodePjs\ai-chat-front\README.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 0, 11, 27
"d:\vscodePjs\ai-chat-front\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\vscodePjs\ai-chat-front\package-lock.json", "JSON", 1682, 0, 0, 0, 0, 0, 0, 0, 1, 1683
"d:\vscodePjs\ai-chat-front\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\vscodePjs\ai-chat-front\public\ai-platform-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 1, 12, 26
"d:\vscodePjs\ai-chat-front\public\ai-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"d:\vscodePjs\ai-chat-front\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscodePjs\ai-chat-front\src\App.vue", "vue", 0, 0, 0, 0, 28, 0, 0, 1, 5, 34
"d:\vscodePjs\ai-chat-front\src\api\index.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 43, 27, 124
"d:\vscodePjs\ai-chat-front\src\assets\css\chat.css", "CSS", 0, 0, 0, 0, 0, 908, 0, 36, 160, 1104
"d:\vscodePjs\ai-chat-front\src\assets\css\config.css", "CSS", 0, 0, 0, 0, 0, 64, 0, 0, 12, 76
"d:\vscodePjs\ai-chat-front\src\assets\css\login.css", "CSS", 0, 0, 0, 0, 0, 74, 0, 4, 12, 90
"d:\vscodePjs\ai-chat-front\src\assets\css\register.css", "CSS", 0, 0, 0, 0, 0, 107, 0, 3, 15, 125
"d:\vscodePjs\ai-chat-front\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscodePjs\ai-chat-front\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"d:\vscodePjs\ai-chat-front\src\main.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\vscodePjs\ai-chat-front\src\router\index.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 4, 8, 69
"d:\vscodePjs\ai-chat-front\src\style.css", "CSS", 0, 0, 0, 0, 0, 66, 0, 0, 10, 76
"d:\vscodePjs\ai-chat-front\src\utils\request.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 24, 20, 166
"d:\vscodePjs\ai-chat-front\src\views\Chat.vue", "vue", 0, 0, 0, 0, 1177, 0, 0, 21, 145, 1343
"d:\vscodePjs\ai-chat-front\src\views\Config.vue", "vue", 0, 0, 0, 0, 588, 0, 0, 5, 32, 625
"d:\vscodePjs\ai-chat-front\src\views\Login.vue", "vue", 0, 0, 0, 0, 169, 0, 0, 0, 20, 189
"d:\vscodePjs\ai-chat-front\src\views\Register.vue", "vue", 0, 0, 0, 0, 239, 0, 0, 0, 28, 267
"d:\vscodePjs\ai-chat-front\vite.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 2, 2, 18
"Total", "-", 1711, 13, 254, 16, 2238, 1219, 21, 145, 538, 6155